full_name,f_name,affiliation,paper_title,paper_url,year
Truyen Tran,truyen,,A Sequential Decision Approach to Ordinal Preferences in Recommender Systems,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4975,2012
Dinh Q. Phung,dinh,,A Sequential Decision Approach to Ordinal Preferences in Recommender Systems,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4975,2012
Svetha Venkatesh,svetha,,A Sequential Decision Approach to Ordinal Preferences in Recommender Systems,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4975,2012
Dingding Wang,dingding,,Generating Pictorial Storylines Via Minimum-Weight Connected Dominating Set Approximation in Multi-View Graphs,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5074,2012
Tao Li,tao,,Generating Pictorial Storylines Via Minimum-Weight Connected Dominating Set Approximation in Multi-View Graphs,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5074,2012
Mitsunori Ogihara,mitsunori,,Generating Pictorial Storylines Via Minimum-Weight Connected Dominating Set Approximation in Multi-View Graphs,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5074,2012
Vernon Asuncion,vernon,,Ordered Completion for Logic Programs with Aggregates,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4922,2012
Yan Zhang,yan,,Ordered Completion for Logic Programs with Aggregates,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4922,2012
Yi Zhou,yi,,Ordered Completion for Logic Programs with Aggregates,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4922,2012
Elias Bareinboim,elias,,Transportability of Causal Effects: Completeness Results,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5188,2012
Judea Pearl,judea,,Transportability of Causal Effects: Completeness Results,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5188,2012
Meghyn Bienvenu,meghyn,,On the Complexity of Consistent Query Answering in the Presence of Simple Ontologies,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4928,2012
Benjamin Bittner,benjamin,,Symbolic Synthesis of Observability Requirements for Diagnosability,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5056,2012
Marco Bozzano,marco,,Symbolic Synthesis of Observability Requirements for Diagnosability,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5056,2012
